"id";"year";"width";"height";"depth";"title";"description";"artistid";"latitude";"longitude";"city";"country";"sortyear";"roomid";"imageid";"imagepath"
151;"1852";38.3;46.5;;"Suicide";"Le suicide (du latin « suicidium », terme composé du préfixe « sui » signifiant « soi », et du verbe « caedere » signifiant « tuer ») est l’acte délibéré de mettre fin à sa propre vie. À l'échelle mondiale, plus de 800 000 personnes se suicident chaque année, dont environ 3 sur 10 par ingestion intentionnelle de pesticides. C'est, selon l'Organisation mondiale de la santé (OMS), la treizième cause de mortalité dans le monde, tous âges compris, et parmi les premières causes de mortalité chez les jeunes,. Les tentatives de suicide sont estimées entre dix et vingt millions chaque année dans le monde.
Le suicide est étudié par les sciences de la psychologie, sociologie et de suicidologie. Il peut être compris comme résultant de problèmes psychologiques. Les causes en sont le désespoir accompagné de solitude ou d'isolement social, et souvent un trouble psychique tel que la dépression, le trouble bipolaire, la schizophrénie, l'alcoolisme ou l'abus de substances. Des facteurs de stress tels que les problèmes financiers ou des problèmes dans les relations humaines jouent souvent et également un rôle significatif. Le suicide varie en fonction de nombreux facteurs sociologiques comme l'anomie (désintégration sociale), la pauvreté, les taux de chômage, les crises économiques, etc. Les taux de suicide varient en fonction des croyances religieuses. La prévalence du suicide diffère énormément selon les genres et l'âge. Dans les pays occidentaux, elle est souvent de trois à quatre fois plus élevée chez les hommes que chez les femmes, tandis que la tendance est inverse en Chine,.
Depuis 1953, des réseaux d'assistance se sont mis en place pour aider les personnes tentées par le suicide, sous forme de numéros d'urgence joignables par téléphone ou par internet. Des programmes de prévention du suicide sont mis en place dans de nombreux pays et leurs coûts et performances sont évalués. Dans le domaine médical, le suicide assisté pose des problèmes éthiques et n'est autorisé que dans un nombre limité de pays. La question du suicide pose des questions philosophiques, religieuses et politiques. Les religions abrahamiques considèrent que le suicide est une offense envers Dieu.
Le suicide, ses causes et son impact, est un sujet représenté dans les arts et la littérature. Il est également assez fréquemment interprété dans la chanson française.";62;;;"Montpellier";"France";1852;92;771;"2c30010278137242c8f48f6fe8ff0bbddba758102a1c670c4a4444cc67e16206.jpg"
152;"1825";40;32;;"Ma chambre en 1825";"";62;;;"Montpellier";"France";1825;92;772;"391d0bcf66ee4d4d35e6fe0a74ea7a7f5904f8bdc96b74d198cb3756cda49d6a.jpg"
153;"1852";51;61.3;;"Portrait de Bruyas";"";62;;;"Montpellier";"France";1852;92;773;"196fb5a44d0dfc0d49a77633d9fc99703d31447ccdd65a7e965794d9d580dfc2.jpg"
154;"1852";32.5;41;;"Portrait de Bruyas dans son intérieur";"";62;;;"Montpellier";"France";1852;92;774;"57e59743c537f632cc6805ff5ff22e2b762601f3249d5690fff0f4543bd51728.jpg"
155;"1822";119;69.5;;"Philoctète dans l'île de Lemnos";"";81;;;"Montpellier";"France";1822;92;775;"a9949697dfd9cc73100af9622e2ba589d83c9cb28a507b8ef03152e8d8d595b3.jpg"
156;"1847";95;159.5;;"la Colère d'Achille";"La Colère d'Achille est un titre d'œuvre notamment porté par :

La Colère d'Achille, tableau peint par Jacques-Louis David en 1819 ;
La Colère d'Achille, film italien de Marino Girolami sorti en 1962.";82;;;"Montpellier";"France";1847;92;776;"90adfbd32a855eea620cea1fdf4bfbcf6a686fdd244b645f8b5698f09b09f956.jpg"
157;"1742";140.5;195;;"Diomède roi de Thrace, tué par Hercule et dévoré par ses propres chevaux";"";83;;;"Montpellier";"France";1742;92;777;"25c30d995386fa82c1be21a22a67f152915454acc10b97e72499c15ae2a77bb1.jpg"
158;"1829";66.5;81.3;;"Femme à mi-corps, couchée sur un divan";"";85;;;"Montpellier";"France";1829;92;778;"434e349c07de719f01627e80f53f80ca8254fd90f5c91869bc824d3cad9f09f2.jpg"
159;"1825";;;;"La mort d'Hippolyte";"";85;;;"Montpellier";"France";1825;92;779;"a9fccdcd163de8b0530cdf85577d8e70a4ec192d45c0e0dc56110ae61399e688.jpg"
160;"1785";257;320;;"Énée, dans l'embrasement de Troie, voulant retourner au combat, est arrêté par sa femme Créuse";"";86;;;"Montpellier";"France";1785;92;780;"ca62b9b5d64722b4a5b30c43887575bbef5c5856df7e072f1ce279690a565caa.jpg"
161;"1540";80.5;100;;"La Charité";"";87;;;"Montpellier";"France";1540;92;781;"76e210abae7e40236c3018541738a8429a5feb28c6fef42c2bf9616c39c42013.jpg"
162;"1850";73.5;59.5;;"Une mare, effet du soir après l'orage";"";88;;;"Montpellier";"France";1850;92;782;"97dce797b80093132d899a0408ec26cb9089f142dd98ceb6fbb81311474fb54d.jpg"
163;"1730";73.5;92.5;;"Jeune homme en cuirasse";"";89;;;"Montpellier";"France";1730;92;783;"3c0ab053f88a60ad0143ad7458e603ee68bfe8b8796eacfca6cfbeaa819f506a.jpg"
164;"1834";291.5;233;;"La mort de Charles IX";"";90;;;"Montpellier";"France";1834;92;784;"fe24624067832c58898f432d507b44886a74ce6b2e00905d8b894d69612d91f6.jpg"
165;"1485";1.41;1.41;;"Madone du Magnificat";"";91;;;"Montpellier";"France";1485;92;785;"84e083e5d51bfa572233faf6b354c079f971676b2e371c161f123f2df60fd3c3.jpg"
167;"1615";47;61;;"Portrait du peintre Frans Francken l'Ancien";"";197;;;"Montpellier";"France";1615;92;787;"6581e8873f8b8124db5b645b906cd65d0be87ad23b9fbfac41e49807bb9057df.jpg"
168;"1621";66.5;51;;"Allégorie de l'Autriche catholique attaquée par les protestants";"";197;;;"Montpellier";"France";1621;92;788;"158d727bdf4bbc5aaa4a3732e675a62923222029710438ada0d803a8fc7acdc9.jpg"
169;"1849";37.8;45.8;;"L'Homme à la pipe";"L'Homme à la pipe est un titre d'œuvre notamment porté par :

L'Homme à la pipe, tableau de Gustave Courbet peint vers 1849.
L'Homme à la pipe, court métrage de Roger Leenhardt sorti en 1964.";32;;;"Montpellier";"France";1849;92;789;"adbd2dde4a7f32ede4a223653b856359c3d139682b1b05ba2c93da14bd5b143c.jpg"
170;"1620";;;;"Rixe de paysans";"";129;;;"Montpellier";"France";1620;92;790;"34cc3b523be4fa0d4751f0d443939ee92e558360461696819b24a02b9986f7e3.jpg"
171;"1695";144;120;;"Paysage au pont";"";198;;;"Montpellier";"France";1695;92;791;"67424e7cae5cf47d4ccd20d08fcaf616351165d623843c445f99f974acaa1859.jpg"
172;"1655";64.5;48;;"Un arracheur de dents";"";199;;;"Montpellier";"France";1655;92;792;"07def7e1d2247e56008838ecdb3d35c3f6f2ec41a46e0ff26bd2554df87f395e.jpg"
173;"1510";74;119;;"La Visitation";"La Visitation est un tableau anonyme (traditionnellement attribué à Noël Nicolas Coypel) représentant la scène biblique de la Visitation de la Vierge Marie à sa cousine Élisabeth. Le tableau mesure 213 par 152 centimètres.[pas clair]";200;;;"Montpellier";"France";1510;92;793;"289b8a57ecabf8f0055d697faa7481201659ab64700122d5689b58085f88352d.jpg"
174;"1667";81;93;;"Portrait de femme";"Portrait de femme est le titre de plusieurs œuvres :

le tableau Portrait de femme, attribué à Antonio ou Piero del Pollaiolo, datant de 1475 ;
le tableau Portrait de femme, de Sebastiano del Piombo, datant de 1512 ;
le tableau Portrait de femme de Dosso Dossi, peint vers 1530-1535 ;
le tableau Portrait de femme de Paul Véronèse, peint vers 1565 ;
le roman Portrait de femme (The Portrait of a Lady) de Henry James, publié en 1881 ;
le tableau Portrait de femme d'Henri Rousseau, peint en 1895 ;
le tableau Portrait de femme d'Amedeo Modigliani, peint en 1918 ;
le film Portrait de femme  (The Portrait of a Lady) de Jane Campion, sorti en 1996.
 Portail de la littérature   Portail du cinéma";201;;;"Montpellier";"France";1667;92;794;"f7d309f28d46dfa48d6fd093ff3a0852f1c3451dbb968ee9ee8bcb6d7e7ef688.jpg"
175;"1675";49;37.5;;"Un port de mer.";"";202;;;"Montpellier";"France";1675;92;795;"e6f25688639d44cd85e06a86e32c867823f4a3cc6ab7049e0d38de0fd430f882.jpg"
176;"1570";226.5;143;;"Vénus et l'Amour";"";203;;;"Montpellier";"France";1570;92;796;"b2bd9f8aa8cbe8b05f09920428f3f9dcf14b3db14e219461fb1d5271c1c32bed.jpg"
177;"1657";46;34;;"La diseuse de bonne aventure";"La Diseuse de bonne aventure est le titre de plusieurs œuvres :

La Diseuse de bonne aventure, tableau du Caravage (v. 1594) ;
La Diseuse de bonne aventure, tableau de Valentin de Boulogne (1628) ;
La Diseuse de bonne aventure, tableau de Georges de La Tour (1635-1638).";98;;;"Montpellier";"France";1657;92;797;"a289cb24c1667ca08d54d9495802c6dbcedcf6c00cd94ed0deb5ad0852171e5c.jpg"
178;"1640";60;38;;"Tabagie (Les amusements des matelots)";"";98;;;"Montpellier";"France";1640;92;798;"d62c938d28bcd44b14de3482dbf4f899a3a965b61019bc516bd710d90102a68c.jpg"
179;"1667";57.5;76;;"Sous-bois avec papillons autour d'un chardon";"";204;;;"Montpellier";"France";1667;92;799;"10653db516c15592f77a339c25b803350afbaed33bd4cc14ad94408bc22cc323.jpg"
180;"1755";54.5;65;;"Le Petit Paresseux";"Le Petit Paresseux est un tableau réalisé par le peintre français Jean-Baptiste Greuze en 1755. Cette huile sur toile représente un enfant qui s'est endormi pendant sa lecture. Elle est aujourd'hui conservée au musée Fabre, à Montpellier.";48;;;"Montpellier";"France";1755;92;800;"5140d45668b84a585eb4c0b8f79f869ccda66ec202e9ad77f00cb9faad601f61.jpg"
181;"1660";75.5;56;;"Halte de cavaliers";"";205;;;"Montpellier";"France";1660;92;801;"f81532164dc0ef2318a7ece566972a5d89cc54042028a191ee1b17f4ec44433c.jpg"
182;"1666";28;33;;"Paysage avec ruines.";"";206;;;"Montpellier";"France";1666;92;802;"c1763bcf002022b8ef142a4451f2c48f52a63e4d76512393b1f096703c8bf0cc.jpg"
183;"1657";49;37.5;;"Marine : La petite flotte";"";207;;;"Montpellier";"France";1657;92;803;"b0b4fe65b4ca8c77f761eae93bf944c95fc4154a20331ad9cb191daaa3448bc3.jpg"
184;"1874";29.5;45.5;;"Thésée combattant le Minotaure";"";208;;;"Montpellier";"France";1874;92;804;"d6619f8aa14da185b40139dd746914043b03963b090dfb10f4e718b78b237b0f.jpg"
185;"1741";105;137.5;;"Madame Crozat";"";209;;;"Montpellier";"France";1741;92;805;"d9545a7b64f8a1308b2d0dea0cc102c8112009379e825afc667803fcb2b68300.jpg"
186;"1650";65;105;;"Portrait d’homme, dit l’homme aux rubans noirs";"";52;;;"Montpellier";"France";1650;92;806;"d55c7bf42ad225ae8f318202feaf35f5a28cf6596fcbe4cb3233a17c90f58b0f.jpg"
187;"1660";66.5;100;;"Paysage au château";"";154;;;"Montpellier";"France";1660;92;807;"a3c9abbdbb56db77b090fca230fb73be42ace11c1a7f966d4bf4835cd04d84e0.jpg"
188;"1674";49.5;62;;"Vase de fleurs";"Le tableau Vase de fleurs (Vase of Flowers) est une œuvre de l'artiste galloise  Gwen John (1876-1939). Il a été offert à la National Library of Wales par la Contemporary Art Society of Wales (CASW) en 1957.
Le sujet du tableau est un vase de fleurs roses et blanches posé sur une table en bois, avec quelques pétales blancs tombés sur la table. On peut aussi voir un habit rose plié sur une autre table en arrière-plan. C'est une peinture à l'huile utilisant la technique de peinture sèche en empâtement.  Le tableau a sans doute été peint chez elle, au début du vingtième siècle. Un tableau similaire de Gwen John existe à la Manchester Art Gallery.
La biographe de Gwen John, Mary Taubman, décrit ce tableau comme « une image classique et conceptuelle donnant l'impression d'être un développement considéré et réflectif de l'original ».";210;;;"Montpellier";"France";1674;92;808;"63a3796753eb3e1127610a45f652dd47e7052e9c7a1c06a42c17c7ecc455e755.jpg"
189;"1660";87;108;;"Le Corsaire et le Juif";"";211;;;"Montpellier";"France";1660;92;809;"0eb50c662315277aefae8041481e4dd2c4fe220f972f8b77e9cda0450dd184ac.jpg"
190;"1670";65;45.5;;"Vue du port de Ripa Grande.";"";211;;;"Montpellier";"France";1670;92;810;"f6ab3452753659f126d67312a2fff5c59c3363da4c055bef5aaba5f54d7a2f90.jpg"
192;"1800";453;289;;"Ulysse et Néoptolème enlèvent à Philoctète l'arc et les flèches d'Héraclès";"";29;;;"Montpellier";"France";1800;92;812;"bd802254cef80be4e5e57ebae95b53d6392f3480941a1b5ecb4c8f2cbac322a2.jpg"
193;"1732";140.5;195;;"Vénus demande à Vulcain des armes pour son fils Énée";"";63;;;"Montpellier";"France";1732;92;813;"7f9063955579085f70584cb62ab010776226f6d10c0c849ac1f38c8a0a12f31a.jpg"
195;"1685";29;22;;"Q66664826";"";213;;;"Montpellier";"France";1685;92;815;"a282f22120b81d642d816b64bec6519161a079f3f88a9066db83a80d9672d2a9.jpg"
196;"1650";;;;"Paysage d'Italie";"";214;;;"Montpellier";"France";1650;92;816;"183ab35758e6cb1e88a4771170c6b7d494a3e6739ee0ad5086b476038503959e.jpg"
197;"1644";;;;"Paysage au muletier";"";215;;;"Montpellier";"France";1644;92;817;"825ba9749963a11361cd69426968d7f43d485f341653942ec29c6d992c60e2ce.jpg"
198;"1700";77;94.1;;"Gibier et armes de chasse";"";216;;;"Montpellier";"France";1700;92;818;"e2b190e4e00d96707ded6e26b5438932e2555a8159c46691093e1b445e3f8c35.jpg"
199;"1690";79.5;102;;"L'abreuvoir";"";217;;;"Montpellier";"France";1690;92;819;"b182e7eb822c14dcade29906277878594521863bfb62171e6a45c917dbb7f687.jpg"
200;"1690";64;47.5;;"Halte de cavaliers devant une hôtellerie";"";217;;;"Montpellier";"France";1690;92;820;"1ae9ed60532a64af6feacca974aef535ccd25c1608923d30fc50e951b0848957.jpg"
201;"1872";92;65;;"Une nourrice au jardin du Luxembourg";"";55;;;"Montpellier";"France";1872;92;821;"2572cf36861a3b39031f5345473ab3e19d4d41c066f132d18163b3acee019299.jpg"
202;"1879";61;76;;"l'Été";"L'Été est un titre d'œuvre notamment porté par :";56;;;"Montpellier";"France";1879;92;822;"e667139d340cf2b099f82013a7b5fb1c4ae3b835dcc75779c6181b5bc65768ed.jpg"
203;"1914";55;73;;"Route dans la forêt de Compiègne";"";57;;;"Montpellier";"France";1914;92;823;"72fae2556ce91ee725e9cff19640155d8a53c073b198852f48611d38bfd5cb5f.jpg"
204;"1701";62;77;2.5;"Louis XIV";"Louis XIV, dit « le Grand » ou « le Roi-Soleil », né le 5 septembre 1638 au château Neuf de Saint-Germain-en-Laye et mort le 1er septembre 1715 au château de Versailles, est un roi de France et de Navarre. Son règne s'étend du 14 mai 1643 — sous la régence de sa mère Anne d'Autriche jusqu'au 7 septembre 1651 — à sa mort en 1715. Son règne d’une durée de 72 ans est l'un des plus longs de l'histoire d'Europe et le plus long de l'histoire de France.
Né Louis, surnommé Dieudonné, il monte sur le trône de France au décès de son père, Louis XIII, quelques mois avant son cinquième anniversaire, ce qui fait de lui l'un des plus jeunes rois de France. Il devient ainsi le 64e roi de France, le 44e roi de Navarre et le troisième roi de France issu de la dynastie des Bourbons.
S'il n'aime guère que son principal ministre d'État, Colbert, fasse référence à Richelieu, ministre de Louis XIII et partisan intransigeant de l'autorité royale, il s'inscrit néanmoins dans son projet de construction séculaire d'un absolutisme de droit divin. Usuellement, son règne est divisé en trois parties : la période de sa minorité, troublée par la Fronde, de 1648 à 1653, durant laquelle sa mère et le cardinal Mazarin gouvernent ; la période allant de la mort de Mazarin, en 1661, au début des années 1680, pendant laquelle le roi gouverne en arbitrant entre les grands ministres ; et enfin la période allant du début des années 1680 à sa mort, où le roi gouverne de plus en plus seul, notamment après la mort de Colbert (ministre clé de 1661 à 1683), puis de Louvois, en 1691. Cette période est aussi marquée par un retour du roi à la religion, notamment sous l'influence de sa maitresse puis seconde épouse, Madame de Maintenon. Son règne voit la fin des grandes révoltes nobiliaires, parlementaires, protestantes et paysannes qui avaient marqué les décennies précédentes. Le monarque impose l'obéissance à tous les ordres et il contrôle les courants d'opinion (y compris littéraires ou religieux, tels que Port-Royal et les Jansénistes) de façon plus prudente que Richelieu.
La France est, pendant son règne, le pays le plus peuplé d'Europe avec environ vingt millions d'habitants, ce qui lui confère une certaine puissance d'autant que, jusque dans les années 1670, l'économie se porte bien grâce notamment au dynamisme économique du pays et à des finances publiques tenues en bon ordre par Colbert. Du point de vue climatique, le règne coïncide avec le minimum de Maunder (1645-1715), une période extrêmement froide qui produit d'importantes disettes, plusieurs épidémies et épizooties ; en 1693-1694, le printemps très pluvieux suivi d'un échaudage l'été provoque une famine suivie d'une épidémie qui tuent 1 300 000 personnes ; lors du « grand hiver » 1708-1709, le froid a tué directement environ deux cent mille personnes, et indirectement quatre cent mille par famine et épidémie.
Par la diplomatie et la guerre, Louis XIV affirme sa puissance en particulier contre la maison de Habsbourg, dont les possessions encerclent la France. Sa politique du « pré carré » cherche à agrandir et rationaliser les frontières du pays, protégées par la « ceinture de fer » de Vauban, qui fortifie les villes conquises. Cette action lui permet de donner à la France des frontières approchant celles de l'ère contemporaine, avec l'annexion du Roussillon, de la Franche-Comté, de Lille, de l'Alsace et de Strasbourg. Toutefois, les guerres pèsent sur les finances publiques et Louis XIV s'attire la méfiance des autres pays européens, qui s'allient souvent, à la fin de son règne, pour contrer sa puissance. C'est aussi le moment où, après la Glorieuse Révolution, l'Angleterre commence à affirmer sa puissance, notamment maritime et économique, grâce en partie aux Huguenots chassés de France, sous le règne d'un adversaire déterminé de Louis XIV, Guillaume d'Orange.
D'un point de vue religieux, le XVIIe siècle est complexe et ne se limite pas à l'opposition entre catholiques et protestants. Parmi les catholiques, la question de la grâce suscite une forte opposition entre les jésuites et les jansénistes. Louis XIV doit trancher entre les divers courants de pensée religieuse, en tenant compte non seulement de ses propres convictions, mais aussi de considérations politiques. Ainsi, s'il fait condamner les jansénistes, c'est aussi parce qu'il se méfie de leur anti-absolutisme.
Concernant les protestants, la révocation de l'édit de Nantes en 1685 a des conséquences économiques et démographiques lourdes pour la France, et les réactions en Europe et à Rome sont défavorables. Les relations avec les papes sont en général mauvaises, particulièrement avec Innocent XI. En effet, le roi entend préserver son indépendance et celle de son clergé face à Rome, ce qui ne l'empêche pas de se méfier des gallicans, souvent imprégnés par le jansénisme. À la fin du règne, la querelle du quiétisme entraîne également des tensions avec Rome.
À partir de 1682, Louis XIV dirige son royaume depuis le vaste château de Versailles, dont il a supervisé la construction, et dont le style architectural a inspiré d'autres châteaux européens. Sa cour soumet la noblesse, étroitement surveillée, à une étiquette très élaborée. Le prestige culturel s'y affirme grâce au mécénat royal en faveur d'artistes tels que Molière, Racine, Boileau, Lully, Le Brun et Le Nôtre, ce qui favorise l'apogée du classicisme français, qualifié, dès son vivant, de « Grand Siècle », voire de « siècle de Louis XIV ».
Sa fin de règne, très difficile, est marquée par l'exode de dizaines de milliers de protestants persécutés, par des revers militaires, par les famines de 1693 et de 1709, par la révolte des Camisards et par les nombreux décès de ses héritiers royaux.
Tous ses enfants et petits-enfants dynastes sont morts avant lui, et son successeur, son arrière-petit-fils Louis XV, n'a que 5 ans lorsqu'il meurt. Pourtant, même après la régence assez libérale de Philippe d'Orléans, l'absolutisme perdure, attestant ainsi de la solidité du régime construit.
Après la disparition de Louis XIV, Voltaire s'inspire en partie de lui pour élaborer le concept de despotisme éclairé. Au XIXe siècle, Jules Michelet lui est hostile et insiste sur le côté sombre de son règne (dragonnades, galères, disettes, etc.). Ernest Lavisse sera plus modéré, même si ses manuels scolaires insistent sur le despotisme du roi, et sur certaines décisions tyranniques.
Dans la seconde moitié du XXe siècle, Marc Fumaroli considère Louis XIV comme le « saint patron » de la politique culturelle de la Cinquième République en France. Michel de Grèce pointe ses insuffisances, tandis que François Bluche et Jean-Christian Petitfils le réhabilitent.";27;;;"Montpellier";"France";1701;92;824;"d2b73cc6519a3ae72f2f839e54e78c61771c951b90272ee3616a62a92ec26b9c.jpg"
205;"1867";78;98;;"Nature morte au héron";"";1;;;"Montpellier";"France";1867;92;825;"3f077474bb1da8d62e507a49541e28c9adc67e44a4840e9785c8c006fdea0a39.jpg"
206;"1869";50.5;61.5;;"Portrait de M. Alphonse Tissié en cuirassier";"";1;;;"Montpellier";"France";1869;92;826;"f021a2e400d02b55c180efe5cb28e63f7034ded24a02f246b5e45465a567987a.jpg"
207;"1870";202.8;137.5;;"Ruth et Booz";"";1;;;"Montpellier";"France";1870;92;827;"294b7a8247d1f4701f09d85e813773a4fa80a81f0e952fe47b0c171444bbf77c.jpg"
208;"1870";61.7;78.2;;"Dona Marioun, bonne vieille femme du peuple";"";58;;;"Montpellier";"France";1870;92;828;"7214f50e2bd643079ca0a252dde15e1868bef547bcae458c02d8ad7df35e2400.jpg"
209;"1721";65;80.5;;"Diane au bain";"";59;;;"Montpellier";"France";1721;92;829;"882f71b3bedd0561c417e19841a8c47108ff8bf8badae151f22b2008ac4040b3.jpg"
210;"1720";74;91.5;;"Offrande à Priape";"";59;;;"Montpellier";"France";1720;92;830;"1245fff6ef6429159f08f90a221f808711faa9a1727fcf1dab839c26aac87e6f.jpg"
211;"1728";79.5;105.5;;"Vestale portant le feu sacré";"";59;;;"Montpellier";"France";1728;92;831;"7c78544a2320d3b631e7c0b04467579de1a9af67ae826224d0fc3ccf02ca3a14.jpg"
212;"1728";137;227;;"La Danse";"La Danse est un titre d'œuvre notamment porté par :

La Danse, peinture de William Bouguereau ;
La Danse, peinture d'André Derain ;
La Danse I, peinture d'Henri Matisse ;
La Danse II, peinture d'Henri Matisse ;
La Danse de Paris, peinture d'Henri Matisse ;
La Danse de Merion, peinture d'Henri Matisse ;
La Danse, sculpture de Jean-Baptiste Carpeaux
La Danse, sculpture de Shelomo Selinger ;
La Danse, sculpture de Jules Herbays (1866-1940).";59;;;"Montpellier";"France";1728;92;832;"05b4fd91e4520abf0c3a318eab709e49346356ab005ba2a4250896bf65e7260c.jpg"
213;"1732";145;227;;"Le Retour de la chasse";"";59;;;"Montpellier";"France";1732;92;833;"eba1006355385b4a9a96184628358822f978c6b0b0e11b0e3b70f8a1bf1d4506.jpg"
214;"1750";183;125;;"La Chasse de Didon et Enée";"";59;;;"Montpellier";"France";1750;92;834;"8ebd6f9b5abd53b03bfad6c03d8c04d4d094ecd61ae5739de1ab39370f17ee5c.jpg"
215;"1710";102.5;63;;"Le Jugement de Salomon";"Le Jugement de Salomon est un film français muet de court métrage réalisé par Henri Andréani et sorti en 1912.";59;;;"Montpellier";"France";1710;92;835;"e01dffa49622edb9203b02820a3e89c607941f1491db398a7637cffc27c5f429.jpg"
217;"1650";46;55.5;;"La Déploration du Christ";"La Déploration du Christ est un tableau peint par Dirk Bouts au milieu du XVe siècle et représentant la Déploration du Christ.
L'œuvre, identifiée comme étant de Rogier van der Weyden lors de son entrée dans les collections du musée du Louvre en 1871 par le legs de Constant Mongé-Misbach, est finalement identifiée comme étant de Dirk Bouts. Elle fait partie du Département des peintures et est enregistrée sous le numéro d'inventaire RF 1.";52;;;"Montpellier";"France";1650;92;837;"1ee35078e1898a965723274feb70fe7f120c679fbe11ef0b4cfc0349a6aec17c.jpg"
218;"1660";36;43.5;;"L'Invention du corps d'une sainte";"";52;;;"Montpellier";"France";1660;92;838;"6ebd81046e786fcbc26c01b0ef82d4e2332c9aeef70962fdec799ccb6c77d676.jpg"
219;"1766";186.5;253.5;;"Saint Grégoire Le Grand, pape";"";60;;;"Montpellier";"France";1766;92;839;"fa8defdbf2aae8614488177df8057319a2731c79c6df777135b0385ad22e0f90.jpg"
220;"1760";59;73;;"Portrait de Madame Vien";"";60;;;"Montpellier";"France";1760;92;840;"5c4732a0134c3c108830cb4146153551496392227b0d77511c48271826da726f.jpg"
221;"1746";161.5;340;;"Saint Jean-Baptiste";"Jean le Baptiste ou Jean Baptiste, de son nom de naissance Yohanan (hébreu : יוחנן), est un personnage majeur du christianisme, prophète du Nouveau Testament et de l'islam. Sur le plan historique, son existence est attestée par un passage de Flavius Josèphe. Il est un prédicateur juif du temps de Jésus de Nazareth.
L'Évangile selon Jean localise l'activité du Baptiste sur les rives du Jourdain et à Béthanie au-delà du Jourdain. Jésus aurait, semble-t-il, vécu un temps dans son entourage et y aurait recruté ses premiers apôtres. Les Évangiles synoptiques synchronisent le début de l'activité de Jésus avec l'emprisonnement de Jean.
L'audience de ce prophète apocalyptique n'a cessé de croître, au point de susciter la réaction d'Hérode Antipas, qui, le voyant rassembler ses partisans, craint qu'il ne suscite une révolte. Dans les Évangiles synoptiques, le Baptiste est mis à mort parce qu'il a critiqué le mariage d'Antipas avec Hérodiade.
Dans le christianisme, Jean le Baptiste est le prophète qui a annoncé la venue de Jésus de Nazareth et l'a baptisé sur les bords du Jourdain, laissant certains de ses disciples se joindre à lui. Précurseur du Messie, il est présenté dans les Évangiles synoptiques comme partageant beaucoup de traits avec le prophète Élie, ce qui n'est pas mentionné dans l'Évangile selon Jean.
Le catholicisme en a fait un saint et lui a consacré deux fêtes : le 24 juin qui commémore sa naissance, fixée six mois avant Noël pour se conformer au récit d'enfance de l'Évangile selon Luc, et le 29 août qui célèbre la mémoire de sa décapitation (sous le nom traditionnel de décollation de Jean Baptiste).
La religion mandéenne en fait son prophète principal. Il est considéré par l'islam comme un prophète descendant de 'Imrān.";60;;;"Montpellier";"France";1746;92;841;"67b7a1eb42c240d1a378aa0acd683e8fb7552b5469051e032f800614c131dbc7.jpg"
222;"1754";67.5;80.5;;"Vieillard endormi";"";60;;;"Montpellier";"France";1754;92;842;"8f13d0e6308bfe74903841e5ebb2922068fa0fc1f4e662576ce2f041e38c1c10.jpg"
223;"1771";298;275.5;;"La famille de Coriolan venant le fléchir et le détourner d'assiéger Rome";"";60;;;"Montpellier";"France";1771;92;843;"f99fbf3109143b74f6a1b584d0467ef576719b9d1e7166fbf5815b8659f435fb.jpg"
224;"1860";38.5;47;;"Le déjeuner du prolétaire";"";54;;;"Montpellier";"France";1860;92;844;"2857188cd1bed2af923d91fdcb673f07336d96745473982d1292aae0aead748a.jpg"
225;"1850";46.5;56;;"Tête d'étude";"";54;;;"Montpellier";"France";1850;92;845;"c4975ace33fbf02a26ec6770c7280e83c9b7023232797fbb15b435504f06b737.jpg"
226;"1851";113;145;;"Le goûter champêtre, souvenir des Pyrénées";"";61;;;"Montpellier";"France";1851;92;846;"247e3edf75685e1233118693ae1fbff2575482252fa4297064efcd8ca0cbd51e.jpg"
227;"1848";60;50.5;;"Intérieur du Cabinet de Bruyas";"";61;;;"Montpellier";"France";1848;92;847;"a54bf0fac30fa606131ecf7b937f964c96c2a552b24dd72423e84864f18784a9.jpg"
228;"1845";32;41;;"Bacchus et Érigone";"";62;;;"Montpellier";"France";1845;92;848;"d6516ab3aea3491c0c20f1cc28545909487f6ca97aa748adf4e2444e8ae454e8.jpg"
229;"1854";54.5;65;;"Autoportrait de l'artiste";"";62;;;"Montpellier";"France";1854;92;849;"e3f2e13679d04e70c113c843f9c877ad61efd5580f59fdfb202901664b76af05.jpg"
230;"1836";41;33;;"Clovis à la bataille de Tolbiac";"";62;;;"Montpellier";"France";1836;92;850;"b880d6e7386343f7f38cc4204538946b59dd4fc4939982146a5ce9c909abe71a.jpg"
231;"1730";65;81;;"Jeune femme en Sibylle d'après Guido Reni";"";63;;;"Montpellier";"France";1730;92;851;"d2354ecad18ea3edf78e165d1eb98733be22b7e3c97b10162ecd2e0260f051de.jpg"
232;"1850";173.5;94.5;;"Émigration pendant le choléra à Marseille";"";64;;;"Montpellier";"France";1850;92;852;"2b7123bf5be62481c0ff96492cf6fa32739b0346a73bd582fd2d0f9222c98375.jpg"
233;"1859";129;80.5;;"Les garrigues du pic Saint-Loup";"";65;;;"Montpellier";"France";1859;92;853;"91545cf613c9cd9326bd25057559a0a2b771d65099b6840ac69338b48bbf3411.jpg"
234;"1880";130;81;;"Paysage, les bords du Vidourle";"";65;;;"Montpellier";"France";1880;92;854;"0fab3203c6199263a7714914dc18d7efcf0b346a4b289c077a5a2fc794a3f6c2.jpg"
